,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
13714,1.43495E+18,642,543,44726,FALSE,3,FALSE,7,2,2,0,0.45243698,0,0,0,0,0
13715,1.43216E+18,269,25,135,FALSE,0,TRUE,0,2,2,0,0.020842785,0,0,0,0,0
13716,1.44297E+18,179,395,7737,FALSE,1,TRUE,8,11,2,2,0.036162965,0,0,0,0,0
13717,1.42839E+18,42,230,16164,FALSE,1,TRUE,6,2,2,0,0.11036996,0,0,0,0,0
13718,1.44091E+18,166,147,563,FALSE,0,FALSE,0,6,3,2,0.3811502,0,0,0,0,0
13719,1.43464E+18,6228,728,67382,FALSE,16,TRUE,12,2,2,0,0.09872158,0,0,0,0,0
13720,1.44018E+18,684,1496,6134,FALSE,5,TRUE,0,7,4,2,0.16678599,1,0,0,1,1
13721,1.42886E+18,196,335,9158,FALSE,2,TRUE,11,6,4,1,0.024967449,0,0,0,0,0
13722,1.44092E+18,1269,675,15562,FALSE,33,TRUE,1,6,4,2,0.034513097,0,0,0,0,0
13723,1.42811E+18,4605,301,108512,FALSE,10,TRUE,9,2,2,0,0.045873325,0,0,0,0,0
13724,1.43831E+18,267,243,4170,FALSE,1,TRUE,8,5,2,2,0.1182615,1,1,0,2,1
13725,1.43465E+18,4731,666,49742,FALSE,64,TRUE,9,5,3,1,0.5140397,0,0,0,0,0
13726,1.43796E+18,1499,120,11270,FALSE,11,FALSE,1,6,4,1,0.09655223,0,0,0,0,0
13727,1.42812E+18,473,410,15738,FALSE,6,TRUE,12,3,2,1,0.21241048,0,0,0,0,0
13728,1.43183E+18,79,215,1285,FALSE,1,TRUE,0,4,2,1,0.15766735,0,0,0,0,0
13729,1.43614E+18,551,421,43476,FALSE,1,TRUE,9,3,2,1,0.023199737,0,0,0,0,0
13730,1.43397E+18,11374,953,6523,FALSE,36,TRUE,1,4,4,0,0.18079062,0,0,0,0,0
13731,1.43684E+18,12525,181,66330,TRUE,535,TRUE,10,2,2,0,0.014827953,0,0,0,0,0
13732,1.44295E+18,89557,10626,72676,FALSE,55,TRUE,2,7,4,1,0.030388435,0,0,1,0,0
13733,1.43909E+18,211794,6070,184518,FALSE,575,TRUE,6,2,2,0,0.3389984,1,0,0,1,1
13734,1.43432E+18,424,690,2444,FALSE,5,FALSE,0,20,10,9,0.1798404,0,0,0,0,0
13735,1.43183E+18,40,131,7701,FALSE,1,TRUE,4,4,2,1,0.12867521,0,0,0,0,0
13736,1.43074E+18,262,344,225,FALSE,1,FALSE,0,2,2,0,0.06500591,0,0,0,0,0
13737,1.43832E+18,20,233,714,FALSE,0,FALSE,0,2,2,0,0.65996873,1,0,0,1,1
13738,1.44188E+18,466,176,5642,FALSE,1,FALSE,0,5,4,1,0.020231359,0,0,0,0,0
13739,1.42965E+18,687,113,998,FALSE,1,TRUE,0,9,3,4,0.65996873,0,0,0,0,0
13740,1.43396E+18,11848,9263,36440,FALSE,2,TRUE,3,4,2,1,0.03734144,0,0,0,0,0
13741,1.42812E+18,157,159,1701,FALSE,0,FALSE,0,2,2,0,0.09112182,0,0,0,0,0
13742,1.43323E+18,5634,2780,17117,FALSE,66,TRUE,6,5,3,2,0.04760506,1,0,0,1,1
13743,1.42665E+18,383,338,1488,FALSE,4,TRUE,0,12,5,4,0.1537979,1,1,0,2,1
13744,1.44052E+18,309,1053,48997,FALSE,5,TRUE,12,5,3,1,0.09438288,0,0,0,0,0
13745,1.43256E+18,540,294,6149,FALSE,3,TRUE,1,22,12,8,0.20335422,0,0,0,0,0
13746,1.4318E+18,2323,753,4612,FALSE,7,FALSE,1,6,5,1,0.037105743,1,0,0,1,1
13747,1.43217E+18,656,1813,22003,FALSE,14,TRUE,12,3,2,1,0.012943043,0,0,0,0,0
13748,1.43797E+18,378,232,44473,FALSE,0,TRUE,7,9,4,3,0.24282593,1,0,0,1,1
13749,1.43496E+18,21512,2325,318409,FALSE,72,FALSE,8,4,2,1,0.051068526,0,0,0,0,0
13750,1.42885E+18,569,330,7249,FALSE,8,TRUE,3,6,3,2,0.05824285,0,0,0,0,0
13751,1.42775E+18,482,885,9436,FALSE,2,TRUE,7,2,2,0,0.123468354,0,0,0,0,0
13752,1.43072E+18,10,67,11,FALSE,0,TRUE,0,3,3,0,0.5140397,0,0,0,0,0
13753,1.42966E+18,59147,659,1086,FALSE,46,TRUE,1,4,4,0,0.01608456,0,0,0,0,0
13754,1.43496E+18,127,232,8277,FALSE,1,FALSE,7,3,3,0,0.2763787,0,0,0,0,0
13755,1.43494E+18,790,139,35805,FALSE,8,TRUE,11,3,2,1,0.08083374,0,0,0,0,0
13756,1.43106E+18,379,274,162,FALSE,1,FALSE,0,4,4,0,0.6289369,0,0,0,0,0
13757,1.44269E+18,2956,2825,343272,FALSE,109,TRUE,11,5,3,1,0.09915545,0,0,0,0,0
13758,1.43493E+18,14914,2097,40757,FALSE,153,FALSE,10,35,31,1,0.010492661,0,0,0,0,0
13759,1.43143E+18,18945,383,10916,FALSE,157,TRUE,6,3,3,0,0.039462693,0,0,0,0,0
13760,1.42664E+18,1474,897,53351,FALSE,19,TRUE,9,11,4,5,0.2028889,0,0,0,0,0
13761,1.43182E+18,1948,997,140920,FALSE,2,TRUE,10,3,2,1,0.91625386,0,0,0,0,0
13762,1.4383E+18,916,1023,17754,FALSE,12,TRUE,0,220,149,4,0.21374844,8,4,1,12,1
13763,1.43072E+18,2913,566,11843,FALSE,41,FALSE,10,13,9,3,0.36095104,0,0,0,0,0
13764,1.42812E+18,184,213,44097,FALSE,1,TRUE,3,2,2,0,0.165053,1,0,0,1,1
13765,1.43496E+18,1792,4304,28021,FALSE,5,TRUE,3,6,3,2,0.07687678,0,0,0,0,0
13766,1.43433E+18,3345,3019,23953,FALSE,109,TRUE,1,2,2,0,0.024378212,0,0,0,0,0
13767,1.44114E+18,133,422,23,FALSE,0,TRUE,0,6,4,2,0.37751234,0,0,0,0,0
13768,1.44017E+18,132,187,10210,FALSE,1,TRUE,5,2,2,0,0.06025757,0,0,0,0,0
13769,1.43493E+18,150,552,11961,FALSE,0,FALSE,6,2,2,0,0.06104896,0,0,0,0,0
13770,1.43873E+18,413,646,224,FALSE,1,TRUE,6,2,2,0,0.06381883,0,0,0,0,0
13771,1.44093E+18,4165,1784,14238,FALSE,17,TRUE,4,14,13,1,0.72028047,2,0,0,2,1
13772,1.43432E+18,1609,821,128968,FALSE,79,TRUE,13,2,2,0,0.018723432,0,0,0,0,0
13773,1.43072E+18,21,52,1797,FALSE,1,TRUE,0,8,2,3,0.022139108,1,0,0,1,1
13774,1.42924E+18,494,1099,25276,FALSE,4,TRUE,12,7,2,3,0.23451406,1,0,0,1,1
13775,1.43323E+18,1323,789,257033,FALSE,10,TRUE,12,2,2,0,0.7252971,1,0,0,1,1
13776,1.42731E+18,482,1437,4385,FALSE,1,TRUE,9,2,2,0,0.11347008,0,0,0,0,0
13777,1.43871E+18,1611,1644,516,FALSE,0,TRUE,0,18,18,0,0.01633588,0,0,0,0,0
13778,1.44188E+18,339,763,20270,FALSE,0,TRUE,1,2,2,0,0.07845957,0,0,0,0,0
13779,1.43431E+18,2746,2305,64800,FALSE,29,TRUE,2,17,7,5,0.08479069,0,0,0,0,0
13780,1.44151E+18,11172,294,300127,FALSE,365,FALSE,9,25,12,9,0.17198499,0,1,0,1,1
13781,1.44116E+18,2101,276,137,FALSE,7,FALSE,0,5,5,0,0.05205809,0,0,0,0,0
13782,1.43537E+18,1323,44,924,FALSE,7,FALSE,2,6,4,1,0.09351514,0,0,0,0,0
13783,1.4358E+18,51,103,1751,FALSE,0,TRUE,2,4,2,1,0.0969861,0,0,0,0,0
13784,1.43724E+18,943,979,42475,FALSE,0,TRUE,9,4,2,1,0.079250954,0,0,0,0,0
13785,1.43073E+18,1189,723,42366,FALSE,5,TRUE,6,5,2,2,0.3561489,1,0,0,1,1
13786,1.42812E+18,311,445,39887,FALSE,6,TRUE,12,2,2,0,0.36456755,0,0,0,0,0
13787,1.43724E+18,7685,512,33916,FALSE,133,TRUE,12,2,2,0,0.032863233,0,0,0,0,0
13788,1.43797E+18,558,1217,18780,FALSE,2,TRUE,6,3,2,1,0.3047732,0,0,0,0,0
13789,1.43287E+18,1394,681,35303,FALSE,33,TRUE,8,2,2,0,0.038519915,0,0,0,0,0
13790,1.42775E+18,1161,1546,20422,FALSE,11,TRUE,5,4,3,1,0.083999306,0,0,0,0,0
13791,1.42732E+18,747,1989,24041,FALSE,0,TRUE,1,2,2,0,0.19029272,0,0,0,0,0
13792,1.42775E+18,2085,3572,105316,FALSE,16,FALSE,12,4,3,1,0.11098998,2,0,0,2,1
13793,1.42696E+18,409,782,18458,FALSE,3,TRUE,4,6,3,3,0.023317585,0,0,2,0,0
13794,1.42665E+18,284,989,51017,FALSE,4,TRUE,6,3,2,1,0.083999306,0,0,0,0,0
13795,1.43324E+18,62,75,68,FALSE,0,FALSE,1,3,3,0,0.18649188,0,0,0,0,0
13796,1.43494E+18,851,605,8777,FALSE,2,TRUE,3,19,3,6,0.02685301,0,0,0,0,0
